submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
5/11/2021,561,31,2021,May,NJ,5,May,44327
7/3/2021,190,5,2021,Jul,NJ,7,July,44380
10/8/2021,1869,19,2021,Oct,NJ,10,October,44477
3/18/2021,4473,31,2021,Mar,NJ,3,March,44273
6/26/2021,237,6,2021,Jun,NJ,6,June,44373
12/15/2021,4989,30,2021,Dec,NJ,12,December,44545
3/2/2021,3289,48,2021,Mar,NJ,3,March,44257
12/13/2021,3279,13,2021,Dec,NJ,12,December,44543
4/21/2021,3475,65,2021,Apr,NJ,4,April,44307
7/8/2021,331,3,2021,Jul,NJ,7,July,44385
1/16/2021,6057,94,2021,Jan,NJ,1,January,44212
3/10/2021,3775,133,2021,Mar,NJ,3,March,44265
7/24/2021,861,5,2021,Jul,NJ,7,July,44401
1/6/2021,5848,141,2021,Jan,NJ,1,January,44202
9/29/2021,1997,20,2021,Sep,NJ,9,September,44468
8/18/2021,1677,6,2021,Aug,NJ,8,August,44426
3/13/2021,4034,34,2021,Mar,NJ,3,March,44268
12/24/2021,18941,26,2021,Dec,NJ,12,December,44554
12/18/2021,7644,33,2021,Dec,NJ,12,December,44548
6/4/2021,288,18,2021,Jun,NJ,6,June,44351
3/12/2021,4049,40,2021,Mar,NJ,3,March,44267
12/23/2021,18122,32,2021,Dec,NJ,12,December,44553
10/4/2021,1246,16,2021,Oct,NJ,10,October,44473
3/5/2021,3701,30,2021,Mar,NJ,3,March,44260
9/3/2021,1735,10,2021,Sep,NJ,9,September,44442
10/1/2021,1673,16,2021,Oct,NJ,10,October,44470
10/9/2021,1828,20,2021,Oct,NJ,10,October,44478
5/6/2021,1413,33,2021,May,NJ,5,May,44322
11/13/2021,1638,17,2021,Nov,NJ,11,November,44513
8/24/2021,1857,20,2021,Aug,NJ,8,August,44432
6/1/2021,158,7,2021,Jun,NJ,6,June,44348
7/11/2021,283,4,2021,Jul,NJ,7,July,44388
3/17/2021,4313,79,2021,Mar,NJ,3,March,44272
7/5/2021,86,4,2021,Jul,NJ,7,July,44382
7/19/2021,312,6,2021,Jul,NJ,7,July,44396
5/16/2021,269,9,2021,May,NJ,5,May,44332
7/14/2021,365,11,2021,Jul,NJ,7,July,44391
2/28/2021,2389,14,2021,Feb,NJ,2,February,44255
11/11/2021,1823,12,2021,Nov,NJ,11,November,44511
4/5/2021,2831,12,2021,Apr,NJ,4,April,44291
12/9/2021,5617,8,2021,Dec,NJ,12,December,44539
1/11/2021,5334,46,2021,Jan,NJ,1,January,44207
11/10/2021,1338,15,2021,Nov,NJ,11,November,44510
10/12/2021,1642,21,2021,Oct,NJ,10,October,44481
5/10/2021,152,9,2021,May,NJ,5,May,44326
11/6/2021,1403,18,2021,Nov,NJ,11,November,44506
3/21/2021,3238,40,2021,Mar,NJ,3,March,44276
4/13/2021,4848,49,2021,Apr,NJ,4,April,44299
10/24/2021,787,3,2021,Oct,NJ,10,October,44493
9/26/2021,1110,5,2021,Sep,NJ,9,September,44465
8/21/2021,2158,11,2021,Aug,NJ,8,August,44429
12/8/2021,4258,24,2021,Dec,NJ,12,December,44538
6/9/2021,184,22,2021,Jun,NJ,6,June,44356
6/10/2021,342,6,2021,Jun,NJ,6,June,44357
10/15/2021,1383,19,2021,Oct,NJ,10,October,44484
8/8/2021,1169,5,2021,Aug,NJ,8,August,44416
6/3/2021,286,0,2021,Jun,NJ,6,June,44350
12/12/2021,3842,8,2021,Dec,NJ,12,December,44542
1/10/2021,5646,32,2021,Jan,NJ,1,January,44206
3/27/2021,4662,24,2021,Mar,NJ,3,March,44282
2/14/2021,2168,14,2021,Feb,NJ,2,February,44241
11/26/2021,2144,3,2021,Nov,NJ,11,November,44526
10/20/2021,1106,15,2021,Oct,NJ,10,October,44489
