submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
8/5/2021,1689,4,2021,Aug,NY,8,August,44413
11/4/2021,3657,29,2021,Nov,NY,11,November,44504
9/27/2021,2826,16,2021,Sep,NY,9,September,44466
7/1/2021,175,2,2021,Jul,NY,7,July,44378
12/9/2021,8238,43,2021,Dec,NY,12,December,44539
7/10/2021,255,0,2021,Jul,NY,7,July,44387
8/15/2021,2221,11,2021,Aug,NY,8,August,44423
5/19/2021,959,12,2021,May,NY,5,May,44335
7/6/2021,128,3,2021,Jul,NY,7,July,44383
9/20/2021,2163,21,2021,Sep,NY,9,September,44459
8/6/2021,1765,2,2021,Aug,NY,8,August,44414
8/28/2021,2917,22,2021,Aug,NY,8,August,44436
11/6/2021,3851,34,2021,Nov,NY,11,November,44506
3/13/2021,3147,36,2021,Mar,NY,3,March,44268
3/11/2021,3199,32,2021,Mar,NY,3,March,44266
6/22/2021,127,4,2021,Jun,NY,6,June,44369
12/21/2021,8498,41,2021,Dec,NY,12,December,44551
2/22/2021,2788,44,2021,Feb,NY,2,February,44249
1/31/2021,5775,89,2021,Jan,NY,1,January,44227
5/13/2021,1361,9,2021,May,NY,5,May,44329
11/10/2021,4164,25,2021,Nov,NY,11,November,44510
6/14/2021,164,6,2021,Jun,NY,6,June,44361
10/3/2021,3396,24,2021,Oct,NY,10,October,44472
3/12/2021,4218,21,2021,Mar,NY,3,March,44267
11/23/2021,4130,24,2021,Nov,NY,11,November,44523
3/9/2021,2907,34,2021,Mar,NY,3,March,44264
8/7/2021,2441,7,2021,Aug,NY,8,August,44415
9/16/2021,4738,27,2021,Sep,NY,9,September,44455
10/8/2021,4337,33,2021,Oct,NY,10,October,44477
10/25/2021,2355,21,2021,Oct,NY,10,October,44494
3/8/2021,2562,21,2021,Mar,NY,3,March,44263
1/16/2021,9677,113,2021,Jan,NY,1,January,44212
1/7/2021,11249,144,2021,Jan,NY,1,January,44203
6/27/2021,148,3,2021,Jun,NY,6,June,44374
7/28/2021,945,5,2021,Jul,NY,7,July,44405
5/2/2021,1857,22,2021,May,NY,5,May,44318
2/21/2021,3226,37,2021,Feb,NY,2,February,44248
2/8/2021,3901,62,2021,Feb,NY,2,February,44235
4/25/2021,2162,22,2021,Apr,NY,4,April,44311
1/24/2021,6960,105,2021,Jan,NY,1,January,44220
5/5/2021,1358,19,2021,May,NY,5,May,44321
10/17/2021,3149,31,2021,Oct,NY,10,October,44486
1/3/2021,8028,114,2021,Jan,NY,1,January,44199
12/31/2021,33420,43,2021,Dec,NY,12,December,44561
4/20/2021,2148,23,2021,Apr,NY,4,April,44306
11/21/2021,5492,24,2021,Nov,NY,11,November,44521
9/30/2021,3378,30,2021,Sep,NY,9,September,44469
5/14/2021,1266,12,2021,May,NY,5,May,44330
1/13/2021,8755,130,2021,Jan,NY,1,January,44209
9/24/2021,4463,19,2021,Sep,NY,9,September,44463
9/8/2021,2455,20,2021,Sep,NY,9,September,44447
1/1/2021,11204,135,2021,Jan,NY,1,January,44197
5/26/2021,590,14,2021,May,NY,5,May,44342
8/13/2021,2574,8,2021,Aug,NY,8,August,44421
1/28/2021,7296,112,2021,Jan,NY,1,January,44224
10/1/2021,3928,23,2021,Oct,NY,10,October,44470
11/27/2021,3247,56,2021,Nov,NY,11,November,44527
3/23/2021,3309,18,2021,Mar,NY,3,March,44278
8/29/2021,2917,22,2021,Aug,NY,8,August,44437
7/16/2021,377,1,2021,Jul,NY,7,July,44393
4/3/2021,4126,25,2021,Apr,NY,4,April,44289
11/17/2021,4924,21,2021,Nov,NY,11,November,44517
9/4/2021,3374,18,2021,Sep,NY,9,September,44443
