submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months,
9/22/2021,4394,66,2021,Sep,PA,9,September,44461,9
5/19/2021,1198,54,2021,May,PA,5,May,44335,
8/30/2021,2240,1,2021,Aug,PA,8,August,44438,
3/16/2021,3145,65,2021,Mar,PA,3,March,44271,
2/16/2021,2391,7,2021,Feb,PA,2,February,44243,
7/29/2021,1064,4,2021,Jul,PA,7,July,44406,
10/7/2021,5819,92,2021,Oct,PA,10,October,44476,
10/29/2021,4506,85,2021,Oct,PA,10,October,44498,
4/11/2021,3647,3,2021,Apr,PA,4,April,44297,
10/20/2021,3584,134,2021,Oct,PA,10,October,44489,
4/15/2021,4934,44,2021,Apr,PA,4,April,44301,
11/28/2021,4159,32,2021,Nov,PA,11,November,44528,
6/9/2021,333,22,2021,Jun,PA,6,June,44356,
10/14/2021,5253,108,2021,Oct,PA,10,October,44483,
7/8/2021,237,11,2021,Jul,PA,7,July,44385,
1/29/2021,8419,159,2021,Jan,PA,1,January,44225,
3/26/2021,4989,36,2021,Mar,PA,3,March,44281,
2/14/2021,2431,24,2021,Feb,PA,2,February,44241,
2/12/2021,3473,99,2021,Feb,PA,2,February,44239,
1/19/2021,5631,77,2021,Jan,PA,1,January,44215,
4/17/2021,5096,39,2021,Apr,PA,4,April,44303,
9/30/2021,4892,77,2021,Sep,PA,9,September,44469,
12/22/2021,9838,171,2021,Dec,PA,12,December,44552,
2/19/2021,2712,67,2021,Feb,PA,2,February,44246,
7/10/2021,252,8,2021,Jul,PA,7,July,44387,
4/3/2021,5494,40,2021,Apr,PA,4,April,44289,
6/17/2021,305,15,2021,Jun,PA,6,June,44364,
5/13/2021,2058,38,2021,May,PA,5,May,44329,
12/24/2021,13286,264,2021,Dec,PA,12,December,44554,
6/13/2021,187,0,2021,Jun,PA,6,June,44360,
8/29/2021,2442,5,2021,Aug,PA,8,August,44437,
11/8/2021,3254,17,2021,Nov,PA,11,November,44508,
7/14/2021,304,13,2021,Jul,PA,7,July,44391,
3/20/2021,4072,33,2021,Mar,PA,3,March,44275,
12/25/2021,9856,0,2021,Dec,PA,12,December,44555,
3/18/2021,3115,17,2021,Mar,PA,3,March,44273,
6/1/2021,471,0,2021,Jun,PA,6,June,44348,
2/5/2021,5063,138,2021,Feb,PA,2,February,44232,
7/2/2021,165,8,2021,Jul,PA,7,July,44379,
2/28/2021,1777,21,2021,Feb,PA,2,February,44255,
6/18/2021,289,7,2021,Jun,PA,6,June,44365,
11/24/2021,7569,98,2021,Nov,PA,11,November,44524,
1/13/2021,8171,349,2021,Jan,PA,1,January,44209,
1/22/2021,5319,193,2021,Jan,PA,1,January,44218,
7/25/2021,573,4,2021,Jul,PA,7,July,44402,
5/24/2021,613,1,2021,May,PA,5,May,44340,
11/22/2021,5604,7,2021,Nov,PA,11,November,44522,
11/4/2021,5162,72,2021,Nov,PA,11,November,44504,
5/17/2021,793,17,2021,May,PA,5,May,44333,
2/13/2021,3850,113,2021,Feb,PA,2,February,44240,
7/15/2021,418,10,2021,Jul,PA,7,July,44392,
4/28/2021,3301,57,2021,Apr,PA,4,April,44314,
5/29/2021,782,16,2021,May,PA,5,May,44345,
9/27/2021,3010,10,2021,Sep,PA,9,September,44466,
1/14/2021,6464,313,2021,Jan,PA,1,January,44210,
1/15/2021,6728,215,2021,Jan,PA,1,January,44211,
12/26/2021,6839,0,2021,Dec,PA,12,December,44556,
10/1/2021,5352,37,2021,Oct,PA,10,October,44470,
10/26/2021,3742,79,2021,Oct,PA,10,October,44495,
12/31/2021,23268,66,2021,Dec,PA,12,December,44561,
5/6/2021,2408,57,2021,May,PA,5,May,44322,
12/16/2021,7358,105,2021,Dec,PA,12,December,44546,
5/2/2021,2440,22,2021,May,PA,5,May,44318,
5/31/2021,381,5,2021,May,PA,5,May,44347,
8/17/2021,2544,27,2021,Aug,PA,8,August,44425,
4/25/2021,2880,5,2021,Apr,PA,4,April,44311,
8/26/2021,3162,27,2021,Aug,PA,8,August,44434,
11/9/2021,4021,77,2021,Nov,PA,11,November,44509,
12/19/2021,7231,20,2021,Dec,PA,12,December,44549,
7/23/2021,635,1,2021,Jul,PA,7,July,44400,
6/16/2021,243,17,2021,Jun,PA,6,June,44363,
8/23/2021,1787,2,2021,Aug,PA,8,August,44431,
6/12/2021,347,0,2021,Jun,PA,6,June,44359,
7/7/2021,184,10,2021,Jul,PA,7,July,44384,
8/20/2021,2446,19,2021,Aug,PA,8,August,44428,
10/8/2021,5583,93,2021,Oct,PA,10,October,44477,
1/23/2021,5822,205,2021,Jan,PA,1,January,44219,
1/1/2021,8491,236,2021,Jan,PA,1,January,44197,
12/20/2021,4255,20,2021,Dec,PA,12,December,44550,
5/14/2021,1792,27,2021,May,PA,5,May,44330,
4/9/2021,5203,35,2021,Apr,PA,4,April,44295,
4/24/2021,4009,45,2021,Apr,PA,4,April,44310,
3/23/2021,3498,39,2021,Mar,PA,3,March,44278,
3/13/2021,2821,43,2021,Mar,PA,3,March,44268,
12/7/2021,7912,145,2021,Dec,PA,12,December,44537,
3/17/2021,3220,37,2021,Mar,PA,3,March,44272,
4/16/2021,5564,56,2021,Apr,PA,4,April,44302,
9/24/2021,5071,34,2021,Sep,PA,9,September,44463,
1/27/2021,5557,222,2021,Jan,PA,1,January,44223,
10/12/2021,3898,151,2021,Oct,PA,10,October,44481,
7/24/2021,646,3,2021,Jul,PA,7,July,44401,
6/5/2021,600,24,2021,Jun,PA,6,June,44352,
11/10/2021,5269,196,2021,Nov,PA,11,November,44510,
11/5/2021,5130,72,2021,Nov,PA,11,November,44505,
1/16/2021,6850,231,2021,Jan,PA,1,January,44212,
3/30/2021,5416,34,2021,Mar,PA,3,March,44285,
12/4/2021,9264,113,2021,Dec,PA,12,December,44534,
4/30/2021,4392,39,2021,Apr,PA,4,April,44316,
5/26/2021,1037,38,2021,May,PA,5,May,44342,
10/5/2021,4019,80,2021,Oct,PA,10,October,44474,
12/27/2021,10506,19,2021,Dec,PA,12,December,44557,
11/3/2021,3819,181,2021,Nov,PA,11,November,44503,
10/19/2021,3899,64,2021,Oct,PA,10,October,44488,
9/12/2021,4125,0,2021,Sep,PA,9,September,44451,
9/18/2021,5617,33,2021,Sep,PA,9,September,44457,
2/18/2021,3268,94,2021,Feb,PA,2,February,44245,
4/4/2021,3254,7,2021,Apr,PA,4,April,44290,
6/7/2021,224,6,2021,Jun,PA,6,June,44354,
1/5/2021,8684,185,2021,Jan,PA,1,January,44201,
11/27/2021,5143,4,2021,Nov,PA,11,November,44527,
8/16/2021,1279,0,2021,Aug,PA,8,August,44424,
8/13/2021,2020,16,2021,Aug,PA,8,August,44421,
3/4/2021,3228,50,2021,Mar,PA,3,March,44259,
3/27/2021,4062,33,2021,Mar,PA,3,March,44282,
1/10/2021,7309,103,2021,Jan,PA,1,January,44206,
10/9/2021,5610,0,2021,Oct,PA,10,October,44478,
8/11/2021,1848,11,2021,Aug,PA,8,August,44419,
11/11/2021,5293,73,2021,Nov,PA,11,November,44511,
2/8/2021,2356,4,2021,Feb,PA,2,February,44235,
6/8/2021,582,35,2021,Jun,PA,6,June,44355,
11/30/2021,5766,113,2021,Nov,PA,11,November,44530,
3/21/2021,2366,14,2021,Mar,PA,3,March,44276,
4/6/2021,5008,37,2021,Apr,PA,4,April,44292,
7/6/2021,96,1,2021,Jul,PA,7,July,44383,
5/15/2021,1923,25,2021,May,PA,5,May,44331,
12/12/2021,8391,45,2021,Dec,PA,12,December,44542,
7/13/2021,336,9,2021,Jul,PA,7,July,44390,
10/10/2021,3907,0,2021,Oct,PA,10,October,44479,
12/28/2021,11206,131,2021,Dec,PA,12,December,44558,
12/14/2021,7441,113,2021,Dec,PA,12,December,44544,
8/6/2021,1711,8,2021,Aug,PA,8,August,44414,
8/19/2021,3889,22,2021,Aug,PA,8,August,44427,
6/30/2021,173,8,2021,Jun,PA,6,June,44377,
9/2/2021,4816,90,2021,Sep,PA,9,September,44441,
5/28/2021,980,24,2021,May,PA,5,May,44344,
10/6/2021,5058,111,2021,Oct,PA,10,October,44475,
12/2/2021,9143,128,2021,Dec,PA,12,December,44532,
10/30/2021,4366,36,2021,Oct,PA,10,October,44499,
8/27/2021,3845,22,2021,Aug,PA,8,August,44435,
2/15/2021,1852,23,2021,Feb,PA,2,February,44242,
7/21/2021,541,8,2021,Jul,PA,7,July,44398,
9/9/2021,4197,52,2021,Sep,PA,9,September,44448,
8/1/2021,978,3,2021,Aug,PA,8,August,44409,
2/17/2021,3429,193,2021,Feb,PA,2,February,44244,
5/20/2021,1397,40,2021,May,PA,5,May,44336,
2/7/2021,4395,71,2021,Feb,PA,2,February,44234,
12/10/2021,11628,144,2021,Dec,PA,12,December,44540,
1/4/2021,3636,66,2021,Jan,PA,1,January,44200,
4/8/2021,4482,42,2021,Apr,PA,4,April,44294,
2/24/2021,2692,76,2021,Feb,PA,2,February,44251,
3/22/2021,1605,1,2021,Mar,PA,3,March,44277,
10/27/2021,4178,142,2021,Oct,PA,10,October,44496,
12/18/2021,8873,195,2021,Dec,PA,12,December,44548,
8/5/2021,1800,7,2021,Aug,PA,8,August,44413,
6/19/2021,225,7,2021,Jun,PA,6,June,44366,
7/18/2021,337,2,2021,Jul,PA,7,July,44395,
1/9/2021,9637,273,2021,Jan,PA,1,January,44205,
10/15/2021,5725,82,2021,Oct,PA,10,October,44484,
5/4/2021,3220,58,2021,May,PA,5,May,44320,
7/26/2021,413,0,2021,Jul,PA,7,July,44403,
5/8/2021,2578,38,2021,May,PA,5,May,44324,
7/28/2021,760,7,2021,Jul,PA,7,July,44405,
3/25/2021,3710,41,2021,Mar,PA,3,March,44280,
11/7/2021,3672,0,2021,Nov,PA,11,November,44507,
1/6/2021,9877,368,2021,Jan,PA,1,January,44202,
8/4/2021,1397,15,2021,Aug,PA,8,August,44412,
3/11/2021,2765,51,2021,Mar,PA,3,March,44266,
3/19/2021,3463,35,2021,Mar,PA,3,March,44274,
5/11/2021,2593,57,2021,May,PA,5,May,44327,
4/18/2021,2938,27,2021,Apr,PA,4,April,44304,
8/14/2021,2223,9,2021,Aug,PA,8,August,44422,
1/2/2021,7898,25,2021,Jan,PA,1,January,44198,
5/9/2021,1271,11,2021,May,PA,5,May,44325,
5/21/2021,1971,25,2021,May,PA,5,May,44337,
7/16/2021,418,4,2021,Jul,PA,7,July,44393,
4/29/2021,3705,50,2021,Apr,PA,4,April,44315,
